"","stream","mean.flow","max.flow","flow.length"
"1","WS01",3.32850378785227,24.76296296,176
"2","WS02",4.48318339647727,37.67916667,176
"3","WS07",23.9531526197045,136.0892361,176
"4","WS08",393.754952626744,3124.532407,86
"5","WS13",5.94042145588966,50.85925926,145
"6","WS14",27.232016782125,202.3590278,176
"7","WS27",31.964155595587,352.340625,138
"8","WS31",20.9441965267692,121.2076389,169
"9","WS32",28.6180932231657,195.300463,169
"10","WS36",38.604974806735,465.3071759,283
