"","X","bag_n","rhodo_acer","date_dep","date_coll","stream","percent_afdm_rem_C","percent_afdm_rem_F","ln_percent_afdm_rem_C","ln_percent_afdm_rem_F","days_in_record","ln_percent_afdm_start","abs_val_k_coarse","abs_val_k_fine","abs_val_k_shred"
"423",500,135,"R",2018-01-11,2018-03-08,"WS14",81.96957517,90.67305671,"4.406348144",4.507260254,56,4.605170186,0.003550394,0.001748392,0.001802002
"424",503,136,"R",2018-01-11,2018-03-08,"WS14",81.37661952,92.84406386,"4.399088002",4.530921353,56,4.605170186,0.003680039,0.001325872,0.002354167
"425",506,137,"R",2018-01-11,2018-03-08,"WS18",85.76113981,83.7095428,"4.451565988",4.427352983,56,4.605170186,0.002742932,0.003175307,-0.000432375
"426",509,138,"R",2018-01-11,2018-03-08,"WS18",82.26713557,93.41984977,"4.409971703",4.537103847,56,4.605170186,0.003485687,0.00121547,0.002270217
"427",512,139,"R",2018-01-11,2018-03-08,"WS18",82.60195571,92.57540148,"4.414033357",4.528023464,56,4.605170186,0.003413158,0.00137762,0.002035538
"428",515,140,"R",2018-01-11,2018-03-08,"WS18",78.25356074,92.38233438,"4.359954333",4.525935774,56,4.605170186,0.004378855,0.0014149,0.002963954
"429",518,141,"R",2018-01-11,2018-03-08,"WS27",86.58180242,90.45360785,"4.46108966",4.504837099,56,4.605170186,0.002572867,0.001791662,0.000781204
"430",521,142,"R",2018-01-11,2018-03-08,"WS27",82.833321,92.34708798,"4.416830408",4.525554174,56,4.605170186,0.00336321,0.001421715,0.001941496
"431",524,143,"R",2018-01-11,2018-03-08,"WS27",83.6807059,94.22375003,"4.427008436",4.545672273,56,4.605170186,0.00318146,0.001062463,0.002118997
"432",527,144,"R",2018-01-11,2018-03-08,"WS27",84.50141705,92.38045628,"4.436768304",4.525915444,56,4.605170186,0.003007176,0.001415263,0.001591913
"433",530,145,"A",2018-01-11,2018-03-08,"WS31",56.08731384,56.3772717,"4.026909652",4.032066093,56,4.605170186,0.010326081,0.010234002,9.21e-05
"434",533,146,"A",2018-01-11,2018-03-08,"WS31",49.31222414,60.3922549,"3.898172005",4.100860867,56,4.605170186,0.012624968,0.009005524,0.003619444
"435",536,147,"A",2018-01-11,2018-03-08,"WS31",56.24189046,60.49476322,"4.029661861",4.102556803,56,4.605170186,0.010276934,0.008975239,0.001301695
"436",539,148,"A",2018-01-11,2018-03-08,"WS31",56.25260612,53.31851011,"4.029852371",3.976283553,56,4.605170186,0.010273532,0.011230118,-0.000956586
"437",542,149,"A",2018-01-11,2018-03-08,"WS36",35.78804015,54.90615324,"3.577613764",4.005625423,56,4.605170186,0.018349222,0.010706156,0.007643065
"438",545,150,"A",2018-01-11,2018-03-08,"WS36",41.51234525,54.83683235,"3.725990859",4.004362091,56,4.605170186,0.015699631,0.010728716,0.004970915
"439",548,151,"A",2018-01-11,2018-03-08,"WS36",38.60598706,56.51658216,"3.65340737",4.034534085,56,4.605170186,0.016995765,0.01018993,0.006805834
"440",551,152,"A",2018-01-11,2018-03-08,"WS36",42.35647064,58.81210119,"3.746121199",4.074347636,56,4.605170186,0.01534016,0.009478974,0.005861186
"441",554,153,"A",2018-01-11,2018-03-08,"WS06",32.36408691,54.80467498,"3.477049379",4.0037755,56,4.605170186,0.020145014,0.010739191,0.009405824
"442",557,154,"A",2018-01-11,2018-03-08,"WS06",36.41699668,59.33927495,"3.595035607",4.083271396,56,4.605170186,0.018038117,0.009319621,0.008718496
"443",560,155,"A",2018-01-11,2018-03-08,"WS06",48.13025642,55.81668641,"3.873911011",4.022072864,56,4.605170186,0.0130582,0.010412452,0.002645747
"444",563,156,"A",2018-01-11,2018-03-08,"WS06",45.61667101,54.92375489,"3.820273242",4.005945949,56,4.605170186,0.014016017,0.010700433,0.003315584
"445",566,157,"A",2018-01-11,2018-03-08,"WS14",34.90272274,47.54089202,"3.552564842",3.861590225,56,4.605170186,0.018796524,0.013278214,0.00551831
"446",569,158,"A",2018-01-11,2018-03-08,"WS14",36.17970334,53.25383284,"3.58849828",3.97506978,56,4.605170186,0.018154855,0.011251793,0.006903062
"447",572,159,"A",2018-01-11,2018-03-08,"WS14",33.26159114,53.75627901,"3.504403312",3.984460479,56,4.605170186,0.019656551,0.011084102,0.008572449
"448",575,160,"A",2018-01-11,2018-03-08,"WS14",22.06783617,45.67475949,"3.094121172",3.821545837,56,4.605170186,0.026983018,0.013993292,0.012989726
"449",578,161,"A",2018-01-11,2018-03-08,"WS18",31.20493078,46.20740337,"3.44057612",3.833140031,56,4.605170186,0.020796323,0.013786253,0.00701007
"450",581,162,"A",2018-01-11,2018-03-08,"WS18",39.00367758,64.68498578,"3.663655939",4.169529116,56,4.605170186,0.016812754,0.007779305,0.00903345
"451",584,163,"A",2018-01-11,2018-03-08,"WS18",45.13411304,56.387654,"3.809638347",4.032250234,56,4.605170186,0.014205926,0.010230713,0.003975212
"452",587,164,"A",2018-01-11,2018-03-08,"WS18",46.90409275,63.5377195,"3.848104937",4.151633737,56,4.605170186,0.013519022,0.008098865,0.005420157
"453",590,165,"A",2018-01-11,2018-03-08,"WS27",42.6076902,59.93719944,"3.752034758",4.093297338,56,4.605170186,0.015234561,0.009140587,0.006093975
"454",593,166,"A",2018-01-11,2018-03-08,"WS27",44.74014659,NA,"3.800871233",NA,56,4.605170186,0.014362481,NA,NA
"455",596,167,"A",2018-01-11,2018-03-08,"WS27",44.50550214,52.29669345,"3.795612825",3.956933146,56,4.605170186,0.014456381,0.011575661,0.00288072
"456",599,168,"A",2018-01-11,2018-03-08,"WS27",48.3385129,53.61953044,"3.878228612",3.981913376,56,4.605170186,0.0129811,0.011129586,0.001851514
"457",602,169,"A",2018-01-11,2018-03-08,"WS13",43.53727535,57.0200786,"3.773617476",4.043403462,56,4.605170186,0.014849156,0.010031549,0.004817607
"458",605,170,"A",2018-01-11,2018-03-08,"WS13",50.78413893,59.19670022,"3.92758408",4.080865801,56,4.605170186,0.012099752,0.009362578,0.002737174
"459",608,171,"A",2018-01-11,2018-03-08,"WS13",50.44245271,58.05489471,"3.920833136",4.061389023,56,4.605170186,0.012220304,0.009710378,0.002509927
"460",611,172,"A",2018-01-11,2018-03-08,"WS13",60.7853474,61.62286386,"4.107348763",4.121032968,56,4.605170186,0.008889668,0.008645307,0.000244361
"461",614,173,"A",2018-01-11,2018-03-08,"WS08",NA,52.73214583,NA,3.965225247,56,4.605170186,NA,0.011427588,NA
"462",617,174,"A",2018-01-11,2018-03-08,"WS08",34.96228602,57.19997094,"3.554269938",4.04655339,56,4.605170186,0.018766076,0.0099753,0.008790776
"463",620,175,"A",2018-01-11,2018-03-08,"WS08",1.023388925,49.57819252,"0.023119595",3.90355107,56,4.605170186,0.081822332,0.012528913,0.069293419
"464",623,176,"A",2018-01-11,2018-03-08,"WS08",4.112739031,NA,"1.414089237",NA,56,4.605170186,0.056983588,NA,NA
"465",626,177,"A",2018-01-11,2018-03-08,"WS01",29.7473778,54.00365858,"3.392740987",3.989051796,56,4.605170186,0.021650521,0.011002114,0.010648407
"466",629,178,"A",2018-01-11,2018-03-08,"WS01",20.75415269,NA,"3.032746356",NA,56,4.605170186,0.028078997,NA,NA
"467",632,179,"A",2018-01-11,2018-03-08,"WS01",30.45600574,57.58100696,"3.416283208",4.053192773,56,4.605170186,0.021230125,0.00985674,0.011373385
"468",635,180,"A",2018-01-11,2018-03-08,"WS01",13.5399676,48.21990124,"2.605645875",3.875771825,56,4.605170186,0.035705791,0.013024971,0.022680821
"469",638,181,"A",2018-01-11,2018-03-08,"WS02",39.56033489,61.19193475,"3.677826972",4.114015396,56,4.605170186,0.0165597,0.008770621,0.007789079
"470",641,182,"A",2018-01-11,2018-03-08,"WS02",54.22876451,63.94312503,"3.993211478",4.157994017,56,4.605170186,0.010927834,0.007985289,0.002942545
"471",644,183,"A",2018-01-11,2018-03-08,"WS02",32.79596244,59.095336,"3.490305412",4.079152004,56,4.605170186,0.0199083,0.009393182,0.010515118
"472",647,184,"A",2018-01-11,2018-03-08,"WS02",51.11766395,NA,"3.934130112",NA,56,4.605170186,0.011982858,NA,NA
"473",650,185,"A",2018-01-11,2018-03-08,"WS07",8.611636489,47.93127149,"2.153114369",3.869768141,56,4.605170186,0.043786711,0.013132179,0.030654532
"474",653,186,"A",2018-01-11,2018-03-08,"WS07",9.684024738,58.23267272,"2.270477594",4.064446584,56,4.605170186,0.041690939,0.009655779,0.032035161
"475",656,187,"A",2018-01-11,2018-03-08,"WS07",12.14809199,47.90346107,"2.497172119",3.869187758,56,4.605170186,0.037642823,0.013142543,0.024500279
"476",659,188,"A",2018-01-11,2018-03-08,"WS07",27.02958742,53.87666287,"3.296932096",3.986697413,56,4.605170186,0.023361394,0.011044157,0.012317238
"477",662,189,"A",2018-01-11,2018-03-08,"WS32",59.31183719,61.50333941,"4.082808901",4.119091473,56,4.605170186,0.00932788,0.008679977,0.000647903
"478",665,190,"A",2018-01-11,2018-03-08,"WS32",58.9129248,61.69212708,"4.076060503",4.122156323,56,4.605170186,0.009448387,0.008625248,0.00082314
"479",668,191,"A",2018-01-11,2018-03-08,"WS32",51.05960892,57.6210355,"3.932993752",4.053887701,56,4.605170186,0.012003151,0.00984433,0.002158821
"480",671,192,"A",2018-01-11,2018-03-08,"WS32",42.00320915,59.9302894,"3.737746024",4.093182043,56,4.605170186,0.015489717,0.009142645,0.006347072
